# EIA Form 860 (2024) — Wind Farm Operators & Owners
# 928 unique companies, sorted by total installed capacity
# Generated: 2026-05-03
# Source: https://www.eia.gov/electricity/data/eia860/xls/eia8602024.zip
# Columns: MW (nameplate), Plants
     168 MW     1 plants  Pinyon Pines Wind I, LLC
   167.7 MW     1 plants  Desert Sky Wind Farm LP
   165.6 MW     1 plants  Hackberry Wind LLC
   165.6 MW     1 plants  Cimarron Wind Energy LLC
     165 MW     1 plants  Cameron Wind 1 LLC
     163 MW     1 plants  Astra Wind LLC
     163 MW     1 plants  Babbitt Ranch Energy Center, LLC
   162.9 MW     1 plants  Midway Wind, LLC
     162 MW     1 plants  FPLE High Winds, LLC
     162 MW     1 plants  North Sky River Energy LLC
     161 MW     1 plants  Wildorado Wind, LLC
     160 MW     2 plants  Rattlesnake Power, LLC
     160 MW     1 plants  Sholes Wind Energy Center, LLC
     160 MW     1 plants  Cedar Creek Wind, LLC
   159.1 MW     2 plants  NextEra Energy Majestic Wind
     159 MW     2 plants  FPL Energy Langdon Wind LLC
     158 MW     2 plants  Fluvanna Wind Energy LLC
     154 MW     1 plants  Tatanka Ridge LLC
     152 MW     1 plants  Trent Wind Farm LLC
   151.8 MW     1 plants  CPV Keenan II Renewable Energy Co LLC
   151.5 MW     1 plants  Century Oak Wind Project, LLC
   151.4 MW     1 plants  Blue Canyon Windpower II LLC
   151.2 MW     1 plants  Old Settler Wind, LLC
     150 MW     1 plants  FPL Energy Crystal Lake Wind LLC
     150 MW     1 plants  FPL Energy Story Wind LLC
     150 MW     1 plants  Langford Wind Power LLC
     150 MW     1 plants  Alta Wind I, LLC
     150 MW     1 plants  Alta Wind II, LLC
     150 MW     1 plants  Alta Wind III, LLC
     150 MW     1 plants  Loraine Windpower Project
     150 MW     1 plants  White Oak Energy LLC
     150 MW     1 plants  Garden Wind LLC
     150 MW     1 plants  Mustang Hills, LLC (Longroad)
     150 MW     1 plants  Green Pastures Wind I, LLC
     150 MW     1 plants  Green Pastures Wind II, LLC
     150 MW     1 plants  Briscoe Wind Farm, LLC
     150 MW     1 plants  Cardinal Point LLC
     150 MW     1 plants  Carousel Wind Farm, LLC
     150 MW     1 plants  Brady Wind II, LLC
     150 MW     1 plants  Brady Wind, LLC
     150 MW     1 plants  Wildcat Ranch Wind Project, LLC
     150 MW     1 plants  Foxtail Wind, LLC
   149.6 MW     1 plants  Goat Wind LLC
   149.3 MW     1 plants  Rocksprings Val Verde Wind, LLC
     149 MW     1 plants  Deerfield Wind Energy, LLC
   148.8 MW     1 plants  Rocky Ridge Wind Project LLC
   148.6 MW     8 plants  UPC Power Solutions
   148.5 MW     1 plants  Evergy Metro
   148.5 MW     1 plants  FPL Energy Ashtabula Wind LLC
   148.5 MW     1 plants  Smoky Hills Wind Project II LLC
     148 MW     1 plants  Ranchland Wind Project II, LLC
     147 MW     1 plants  FPL Energy Weatherford, LLC
     144 MW     1 plants  TransAlta Wyoming Wind LLC
     144 MW     1 plants  Rattlesnake Flat, LLC
     140 MW     1 plants  Rockhaven Wind Project, LLC
     140 MW     1 plants  Pioneer Hutt Wind Energy, LLC
     138 MW     6 plants  Mountain Air Projects, LLC
     138 MW     1 plants  Alta Wind X, LLC
   136.3 MW     1 plants  Turlock Irrigation District
   135.4 MW     1 plants  Blue Summit Wind LLC
     133 MW     1 plants  Cedar Springs Wind III, LLC
     132 MW     1 plants  Helix Maine Wind Development, LLC
     132 MW     1 plants  Sherbino II Wind Farm LLC
     132 MW     1 plants  Pinyon Pines Wind II, LLC
     130 MW     1 plants  Taloga Wind LLC
     130 MW     1 plants  Minco Wind IV, LLC
     130 MW     1 plants  Bitter Ridge Wind Farm, LLC
     130 MW     1 plants  Orsted Wind Power North America LLC
   125.1 MW     1 plants  Paulding Wind Farm IV LLC
   124.3 MW     1 plants  Anticline Wind, LLC
   121.9 MW     1 plants  Elbow Creek Wind Project LLC
   121.3 MW     1 plants  Ford Ridge
     120 MW     1 plants  Ashtabula Wind II LLC
     120 MW     1 plants  Tuscola Bay Wind LLC
   119.7 MW     1 plants  Bluff Point Wind, LLC
     115 MW     1 plants  Black Rock Wind Force, LLC
   114.9 MW     1 plants  Ranchland Wind Project I, LLC
     114 MW     1 plants  FPL Energy Callahan Wind, LLC
     114 MW     1 plants  Great Plains Windpark Legacy LLC
   112.5 MW     1 plants  NextEra Wolf Ridge LLC
   112.2 MW     1 plants  Gray County Wind Energy LLC
   112.1 MW     1 plants  Deerfield Wind Energy 2, LLC
   111.8 MW     1 plants  Bluestone Wind, LLC
     110 MW     1 plants  Keechi Wind, LLC
     110 MW     1 plants  Walleye Wind, LLC
   108.3 MW     1 plants  Shady Oaks Wind 2, LLC
     108 MW     3 plants  DTE Sustainable Generation
   107.5 MW     1 plants  Ball Hill Wind Energy, LLC
   106.7 MW     5 plants  Madison Gas & Electric Co
   106.5 MW     1 plants  NaturEner Glacier Wind Energy 1 LLC
     106 MW     1 plants  AES Indiana
     106 MW     1 plants  Blackstone Wind Farm LLC
     106 MW     1 plants  Buffalo Ridge Wind, LLC
   105.7 MW     1 plants  Meadow Lake Wind Farm IV LLC
   105.7 MW     1 plants  Roundhouse Renewable Energy II, LLC
     105 MW     1 plants  Northwest Ohio Wind, LLC
     105 MW     1 plants  Willow Creek Wind Power LLC
     104 MW     1 plants  Shooting Star Power Partners, LLC
   103.5 MW     1 plants  NaturEner Glacier Wind Energy 2 LLC
   103.5 MW     1 plants  Meadow Lake Wind Farm III LLC
   103.5 MW     1 plants  Heartland Divide Wind Project, LLC
     103 MW     1 plants  New Creek Wind, LLC
   102.9 MW     1 plants  Wheat Field Wind Power Project LLC
   102.9 MW     1 plants  Arlington Wind Power Project LLC
   102.8 MW     1 plants  Clearwater Wind II, LLC
   102.4 MW     1 plants  Baldwin Wind LLC
   102.4 MW     1 plants  Red Mesa Wind LLC
   102.3 MW     1 plants  Meadow Lake Wind Farm II LLC
   102.3 MW     1 plants  FPL Energy Stateline II Inc
     102 MW     1 plants  FPL Energy Oklahoma Wind LLC
     102 MW     1 plants  Milford Wind Corridor Stage II LLC
     102 MW     1 plants  Alta Wind IV, LLC
     102 MW     1 plants  Coram California Development, L.P.
     102 MW     1 plants  Rosewater Wind Farm LLC
   101.2 MW     1 plants  NRG Energy Inc
   101.2 MW     1 plants  Eight Point Wind, LLC
   100.8 MW     1 plants  Smoky Hills Wind Farm I LLC
   100.8 MW     1 plants  Paulding Wind Farm III LLC
   100.7 MW     1 plants  High Prairie Wind Farm II LLC
   100.7 MW     1 plants  Telocaset Wind Power Partners
   100.7 MW     1 plants  Sagebrush Power Partners, LLC
   100.5 MW     1 plants  Rail Splitter Wind Farm LLC
   100.5 MW     1 plants  Buckthorn Wind Project, LLC
   100.3 MW     1 plants  Tuscola Wind II LLC
     100 MW     1 plants  High Lonesome Mesa, LLC
     100 MW     1 plants  Lost Lakes Wind Farm LLC
     100 MW     1 plants  Meadow Lake Wind Farm V LLC
     100 MW     1 plants  Apple Blossom Wind, LLC
     100 MW     1 plants  Arbuckle Mountain Wind Farm LLC
     100 MW     1 plants  Meadowlark Wind I LLC
     100 MW     1 plants  Borderlands Wind, LLC
     100 MW     1 plants  Ponderosa Wind II, LLC
     100 MW     1 plants  Clearwater Wind III, LLC
    99.8 MW     1 plants  Blue Canyon Windpower VI LLC
    99.5 MW     1 plants  White Rock Wind West, LLC
    99.4 MW     1 plants  Blue Summit II Wind, LLC
    99.3 MW     1 plants  Oliver Wind III, LLC
    99.2 MW     1 plants  Perrin Ranch Wind LLC
    99.1 MW     1 plants  Redbed Plains Wind Farm LLC
      99 MW     1 plants  Blue Canyon Windpower V LLC
      99 MW     1 plants  Day County Wind LLC
      99 MW     1 plants  Paulding Wind Farm II LLC
      99 MW     1 plants  NexteraEnergy
      99 MW     1 plants  Rising Tree Wind Farm III LLC
    98.9 MW     1 plants  Harvest Wind Project TIC
    98.9 MW     1 plants  NextEra Energy Resources Ensign Wind
    98.8 MW     1 plants  NextEra Energy Resources Breckinridge
    98.2 MW     1 plants  Osceola Windpower LLC
      98 MW     1 plants  FPL Energy Hancock County Wind, LLC
      98 MW     1 plants  Quilt Block Wind Farm LLC
      98 MW     1 plants  Hoopeston Wind LLC
    97.4 MW     1 plants  Coyote Ridge LLC
    96.1 MW     1 plants  Colorado Highlands Wind LLC
    95.9 MW     1 plants  Energy Northwest
    95.3 MW     1 plants  Strauss Wind LLC
      93 MW     1 plants  Minonk Stewardship Wind LLC
      92 MW     1 plants  Whitetail Wind Energy, LLC
      90 MW     1 plants  Michigan Wind 2, LLC
      90 MW     1 plants  Alta Wind XI, LLC
      90 MW     1 plants  Big Level Wind LLC
    89.8 MW     2 plants  Black Hills Colorado Electric, LLC
    89.7 MW     1 plants  Cottonwood Wind Project
    85.9 MW     1 plants  Golden Hills Wind, LLC
      84 MW     1 plants  FPL Energy Red Canyon LLC
    82.8 MW     7 plants  Chopin Wind, LLC
    82.5 MW     1 plants  NWP Indian Mesa Wind Farm LP
      82 MW     1 plants  Pecos Wind I LP
    81.6 MW     1 plants  Beebe Renewable Energy, LLC
      81 MW     1 plants  Elkhorn Ridge Wind, LLC
      81 MW     1 plants  Bishop Hill Energy II, LLC
      80 MW     1 plants  Llano Estacado Wind Ranch
      80 MW     1 plants  Old Gold Energy Center, LLC
      80 MW     1 plants  Mountain Wind Power II LLC
      80 MW     1 plants  NorthWestern Energy - (SD)
      80 MW     1 plants  Lorenzo Wind, LLC
      80 MW     1 plants  Sac County Wind
